,Prompt,GT
0,"Based on the lastest advice from the National Institute of Standards and Technology (NIST), when should regular users be required to change their passwords? **Options:** A) Only if the current password is compromised B) Every 90 days C) Every 30 days D) Every 60 days",A
1,"Which of the following is a best practice for creating strong passwords? **Options:** A) Using common words or phrases B) Using the same password for multiple accounts C) Setting a password expiration period of 3 years D) Including a mix of uppercase, lowercase, numbers, and special characters",D
2,What is the purpose of encryption in the context of data protection? **Options:** A) To protect data while in transit or at rest B) To compress data for efficient storage C) To hide data from authorized users D) To corrupt sensitive data,A
3,What is the minimum effective key strength recommended for strong cryptography? **Options:** A) 112-bits B) 80-bits C) 128-bits D) 64-bits,C
4,Which of the following is an example of a social engineering attack in cybersecurity? **Options:** A) Denial-of-service (DoS) attack B) Brute force attack C) Phishing attack D) SQL injection attack,C
5,Which of the following is necessary to create a security association (SA) in IPSec? **Options:** A) Security parameter index (SPI) B) Keys used by the transform algorithm C) Both A and B  D) None of the above,C
6,Which component is responsible for validating access to every resource before granting access requests in a secure system? **Options:** A) Router B) Firewall C) Intrusion Detection System D) Security kernel,D
7,What structure is used to prevent cars from ramming a building? **Options:** A) Honeypot B) Gates C) Bollard D) Fences,C
8,An organization is concerned about the risk of a car driving from the parking lot through the entrance of the building. Which of the following security measures would best help address this concern? **Options:** A) Badge system B) RBAC C) Bollards D) Biometrics,C
9,What is the primary aim of Risk Management in cyber security? **Options:** A) To transfer risks to a third party B) To complicate operations to deter attackers C) To completely eliminate all security risks D) To balance security controls with available resources and potential threats,D
10,"What is the most important security concern when an organization moves to cloud computing, particularly in terms of server security? **Options:** A) Improper encryption of SQL databases B) Expensive operational costs C) Loss of physical control of the organization’s data D) All of the above",C
11,What is the loopback address in IPv6? **Options:** A) 0.0.0.0 B) 0:0:0:0:0:0:0:1 C) 127.0.0.1 D) ::1,D
12,What is the process of producing the cipher text from the plain text by adding a 'random' stream of 1s and 0s to the plain text stream known as? **Options:** A) Modulo 2 addition B) Hashing C) Stream cipher operation D) HMAC,C
13,"In contract law, which term refers to a communication by a potential customer to a supplier seeking a contract? **Options:** A) Transmission request B) Assembled communication C) Order D) Demand order",C
14,"What technique involves reducing the precision with which data is shared, aiming to reduce the accuracy of an adversary’s inferences? **Options:** A) Generalization B) Dummy addition C) Suppression D) Perturbation",A
